,CP,nsplit,rel error,xerror,xstd
83,0.000891624175365,116,0.335109451823,0.769126528101,0.0332166543851
84,0.000816951746698,117,0.334217827647,0.767473221484,0.0331645705043
85,0.000711189108443,120,0.331753552255,0.771225878788,0.0336188248893
86,0.000644137678077,122,0.330331174038,0.771484577313,0.0337189419237
87,0.000593655330421,123,0.32968703636,0.77167688001,0.0339185728367
88,0.000571155274166,124,0.32909338103,0.773541494279,0.0339904666056
89,0.000531919390114,125,0.328522225756,0.77384955844,0.0339932093873
90,0.000441352031858,126,0.327990306366,0.774105695108,0.0339928431062
91,0.000431793387269,127,0.327548954334,0.774025006574,0.0339912184472
92,0.000415958599668,128,0.327117160947,0.773885671217,0.0339879263684
93,0.000412374107948,129,0.326701202347,0.773636763502,0.0339858321599
